,date,time,close
0,2019-01-10,00:00,0
1,2019-01-10,00:01,1
2,2019-01-10,00:02,2
3,2019-01-10,00:03,3
4,2019-01-10,00:04,4
5,2019-01-10,00:05,5
6,2019-01-10,00:06,6
7,2019-01-10,00:07,7
8,2019-01-10,00:08,8
9,2019-01-10,00:09,9
10,2019-01-10,00:10,10
11,2019-01-10,00:11,11
12,2019-01-10,00:12,12
13,2019-01-10,00:13,13
14,2019-01-10,00:14,14
15,2019-01-10,00:15,15
16,2019-01-10,00:16,16
17,2019-01-10,00:17,17
18,2019-01-10,00:18,18
19,2019-01-10,00:19,19
20,2019-01-10,00:20,20
21,2019-01-10,00:21,21
22,2019-01-10,00:22,22
23,2019-01-10,00:23,23
24,2019-01-10,00:24,24
25,2019-01-10,00:25,25
26,2019-01-10,00:26,26
27,2019-01-10,00:27,27
28,2019-01-10,00:28,28
29,2019-01-10,00:29,29
30,2019-01-10,00:30,30
31,2019-01-10,00:31,31
32,2019-01-10,00:32,32
33,2019-01-10,00:33,33
34,2019-01-10,00:34,34
35,2019-01-10,00:35,35
36,2019-01-10,00:36,36
37,2019-01-10,00:37,37
38,2019-01-10,00:38,38
39,2019-01-10,00:39,39
40,2019-01-10,00:40,40
41,2019-01-10,00:41,41
42,2019-01-10,00:42,42
43,2019-01-10,00:43,43
44,2019-01-10,00:44,44
45,2019-01-10,00:45,45
46,2019-01-10,00:46,46
47,2019-01-10,00:47,47
48,2019-01-10,00:48,48
49,2019-01-10,00:49,49
50,2019-01-10,00:50,50
51,2019-01-10,00:51,51
52,2019-01-10,00:52,52
53,2019-01-10,00:53,53
54,2019-01-10,00:54,54
55,2019-01-10,00:55,55
56,2019-01-10,00:56,56
57,2019-01-10,00:57,57
58,2019-01-10,00:58,58
59,2019-01-10,00:59,59
60,2019-01-10,01:00,60
61,2019-01-10,01:01,61
62,2019-01-10,01:02,62
63,2019-01-10,01:03,63
64,2019-01-10,01:04,64
65,2019-01-10,01:05,65
66,2019-01-10,01:06,66
67,2019-01-10,01:07,67
68,2019-01-10,01:08,68
69,2019-01-10,01:09,69
70,2019-01-10,01:10,70
71,2019-01-10,01:11,71
72,2019-01-10,01:12,72
73,2019-01-10,01:13,73
